HospitalName,Latitude,Longitude,Email
Sardar Patel Cantonment General Hospital,18.5027163,73.87712,datasciencetestmail@gmail.com
Dr. Babasaheb Ambedkar Cantonment General Hospital,18.569025,73.8486994,datasciencetestmail@gmail.com
Command Hospital Southern Command,18.5005828,73.8894328,datasciencetestmail@gmail.com
Sassoon Hospital,18.5251434,73.8695664,datasciencetestmail@gmail.com
Medipoint Hospital,18.5649964,73.8022359,datasciencetestmail@gmail.com
LifeLine Hospital,18.5597445,73.8062674,datasciencetestmail@gmail.com
Dr. Chowdhary,18.5547291,73.8082012,datasciencetestmail@gmail.com
Dr. Bonagiri,18.5554816,73.8088556,datasciencetestmail@gmail.com
Shree Sakthi Hospital,18.5883392,73.8015444,datasciencetestmail@gmail.com
Karva Hospital,18.5009733,73.8461063,datasciencetestmail@gmail.com
Jeevan Deep Medicare Centre,18.5432946,73.7838496,datasciencetestmail@gmail.com
Dr. Mane's Dental Clinic,18.5423675,73.7907843,datasciencetestmail@gmail.com
Sahyadri Hospital,18.5074625,73.8057842,datasciencetestmail@gmail.com
"Krishna Hospital, Pune",18.5092055,73.8128199,datasciencetestmail@gmail.com
Madhukar General Hospital,18.4789234,73.8241232,datasciencetestmail@gmail.com
Dr. Mudgerikar Clinic,18.477378,73.819076,datasciencetestmail@gmail.com
Dr. Bodhe Clinic,18.4745186,73.8132288,datasciencetestmail@gmail.com
Dr. Naik Clinic,18.4745644,73.8140764,datasciencetestmail@gmail.com
Shewale Hospital,18.5626652,73.8325327,datasciencetestmail@gmail.com
Trimurti Hospital,18.462396,73.8150518,datasciencetestmail@gmail.com
Sanjiwini Hospital,18.4433669,73.848079,datasciencetestmail@gmail.com
Surya Sahyadri Hospital,18.521259,73.8556767,datasciencetestmail@gmail.com
Prakash Netralaya,18.5427855,73.7907618,datasciencetestmail@gmail.com
Fatima Convent Sahyadri Clinic,18.5045156,73.9008129,datasciencetestmail@gmail.com
Gupte Hospital Of Accurate Diagnostics Pvt Ltd,18.519051,73.8398724,datasciencetestmail@gmail.com
Accord Hospital,18.567225,73.7689211,datasciencetestmail@gmail.com
AIMS Hospital,18.5625409,73.8106962,datasciencetestmail@gmail.com
"Naik Hospital, Pune",18.5102879,73.8594694,datasciencetestmail@gmail.com
Satyanand Hospital,18.4707709,73.8886878,datasciencetestmail@gmail.com
Bora Hospital,18.511463,73.8625468,datasciencetestmail@gmail.com
Patil Hospital,18.4791887,73.8247015,datasciencetestmail@gmail.com
Sahyadri Hospital,18.5029092,73.9277341,datasciencetestmail@gmail.com
NON,18.5098623,73.9286042,datasciencetestmail@gmail.com
Apple Hospital,18.5884835,73.7802163,datasciencetestmail@gmail.com
Metro Chemist,18.4598178,73.7859551,datasciencetestmail@gmail.com
Damle Pediatric & general practice,18.4602735,73.7856466,datasciencetestmail@gmail.com
Golwilkar Metropolis Heath Service (India) Pvt Ltd,18.5181296,73.8344155,datasciencetestmail@gmail.com
Paranjape Hospital,18.5143979,73.8460515,datasciencetestmail@gmail.com
Ashakiran Hospital,18.5719235,73.7811374,datasciencetestmail@gmail.com
Pawar Surgical Hospital,18.5012035,73.9379293,datasciencetestmail@gmail.com
Pulse Hospital,18.4594817,73.8233106,datasciencetestmail@gmail.com
ONP Leela Hospital,18.5329215,73.8468085,datasciencetestmail@gmail.com
Meera Hospital,18.5022882,73.8746894,datasciencetestmail@gmail.com
Jupiter Hospital,18.5656598,73.7859859,datasciencetestmail@gmail.com
Seth Ramdas Shah Memorial Hospital and Research Centre,18.5293628,73.8284091,datasciencetestmail@gmail.com
Ashwini Hospital,18.576745,73.7757678,datasciencetestmail@gmail.com
Nityanand Rehabilitation and Residential Mental Heal,18.4565508,73.8515434,datasciencetestmail@gmail.com
Yashda Hospital,18.5168084,73.859535,datasciencetestmail@gmail.com
Mohite Eye Hospital,18.5006535,73.936556,datasciencetestmail@gmail.com
Joglekar Hospital,18.5327524,73.8336359,datasciencetestmail@gmail.com
"Rakshak Hospital, Pune",18.5628712,73.9377429,datasciencetestmail@gmail.com
Parmar Multi Speciality Hospital and Maternity Home,18.5600564,73.8072065,datasciencetestmail@gmail.com
Chaitanya Centre For Psychological Help,18.4795175,73.8043727,datasciencetestmail@gmail.com
Mothercare Hospital,18.4872463,73.8760145,datasciencetestmail@gmail.com
"Sahyadri Hospital, Bibvewadi",18.4781739,73.862105,datasciencetestmail@gmail.com
Siddhi Health Care Center,18.5857676,73.818174,datasciencetestmail@gmail.com
Argade Infertility and Endoscopic Surgery and Icu Center,18.5017523,73.8102353,datasciencetestmail@gmail.com
Shree Balaji Eye Hospital,18.4910283,73.8581684,datasciencetestmail@gmail.com
Chaitanya Stem Cell Center,18.5000189,73.8503981,datasciencetestmail@gmail.com
Shree Shakti Hospital,18.5887256,73.8014048,datasciencetestmail@gmail.com
"Welfare Medical Foundatios, Mohintara Hospital",18.503468,73.9292309,datasciencetestmail@gmail.com
"Pawar Hospital, Pune",18.4658771,73.8601231,datasciencetestmail@gmail.com
Galaxy Care Laparoscopy Institute Pvt. Ltd.,18.5110031,73.837105,datasciencetestmail@gmail.com
Punarvasu Chikitsalaya,18.5284781,73.8423179,datasciencetestmail@gmail.com
Ushakiran General Hospital,18.5019965,73.9348286,datasciencetestmail@gmail.com
"Sangam Hospital, Pune",18.4757105,73.8578707,datasciencetestmail@gmail.com
"Zenith Hospital, Pune",18.5025879,73.9294803,datasciencetestmail@gmail.com
Umarji Hospital,18.5119352,73.857758,datasciencetestmail@gmail.com
Latkar Hospital,18.5609006,73.8132226,datasciencetestmail@gmail.com
Lunkad Hospital,18.5840808,73.833248,datasciencetestmail@gmail.com
Shashwat Hospital,18.4948349,73.8135271,datasciencetestmail@gmail.com
Medipoint Hospital,18.5623861,73.933849,datasciencetestmail@gmail.com
Indira Maternity Home,18.5122188,73.8762961,datasciencetestmail@gmail.com
Alatkar Hospital,18.5018572,73.9322779,datasciencetestmail@gmail.com
Ranka Hospital,18.4950117,73.861886,datasciencetestmail@gmail.com
Bhide Hospital,18.5048666,73.8443399,datasciencetestmail@gmail.com
Poona Laser Center,18.5123701,73.8381752,datasciencetestmail@gmail.com
Siddhant Maternity Home,18.4792694,73.8566422,datasciencetestmail@gmail.com
Remedy Hospital,18.5005568,73.9365077,datasciencetestmail@gmail.com
Amit Hospital,18.5463494,73.8880362,datasciencetestmail@gmail.com
"Purandare Hospital, Pune",18.5022916,73.8586646,datasciencetestmail@gmail.com
Pramodini Urology Foundation,18.5199125,73.8410217,datasciencetestmail@gmail.com
Harsh Hospital,18.4802908,73.8662057,datasciencetestmail@gmail.com
Shraddha Hospital,18.5019482,73.9315805,datasciencetestmail@gmail.com
Salunke Hospital,18.5585931,73.9273694,datasciencetestmail@gmail.com
Moolanis Eye Care Centre,18.5057737,73.8783494,datasciencetestmail@gmail.com
Gokhale Hospital,18.502172,73.857062,datasciencetestmail@gmail.com
Wankhede Hospital,18.4724656,73.8888207,datasciencetestmail@gmail.com
Pune Fertility Center,18.5287757,73.8479868,datasciencetestmail@gmail.com
Jagtap Hospital,18.4774187,73.8237825,datasciencetestmail@gmail.com
Joshi Hospital,18.5171772,73.8332118,datasciencetestmail@gmail.com
"Lifeline Hospital, Pune",18.5875463,73.8625391,datasciencetestmail@gmail.com
Dr Patwardhan Hospital,18.4573434,73.8507776,datasciencetestmail@gmail.com
Shri Samarth Hospital,18.5180616,73.865867,datasciencetestmail@gmail.com
Mai Mangeshkar Hospital,18.4851843,73.7997318,datasciencetestmail@gmail.com
Kamal Netra Rugnalaya,18.4949914,73.81219,datasciencetestmail@gmail.com
Kulkarni Hospital and Diagnostic Centre,18.4851967,73.8092832,datasciencetestmail@gmail.com
Khares Eye Institute,18.5145168,73.8317379,datasciencetestmail@gmail.com
Dr Chavans Fracture and Orthopaedic Center,18.4785979,73.8238536,datasciencetestmail@gmail.com
Gultekdi Nursing and Maternity Home,18.4926804,73.8685472,datasciencetestmail@gmail.com
Agarwal Maternity and General Hospital,18.5588804,73.931217,datasciencetestmail@gmail.com
Ashakiran Hospital,18.5158253,73.8474959,datasciencetestmail@gmail.com
Sant Dnyaneswar Medical Education Research Centre,18.5137805,73.8476971,datasciencetestmail@gmail.com
Kohakade Hospital,18.5628578,73.9320606,datasciencetestmail@gmail.com
Dr. Karve Childrens Hospital,18.5252254,73.8499763,datasciencetestmail@gmail.com
Yashashree Maternity and Nursing Home,18.4886651,73.8502412,datasciencetestmail@gmail.com
Vinayak Netralaya - Pune,18.5105851,73.817981,datasciencetestmail@gmail.com
Seva Hospital,18.5748353,73.8277468,datasciencetestmail@gmail.com
Mams Sumatibhai Shah Ayurved Mahavidyalayas,18.5035837,73.9387286,datasciencetestmail@gmail.com
Abane Hospital,18.4994516,73.9377093,datasciencetestmail@gmail.com
Rahel Hospital,18.5152906,73.8754553,datasciencetestmail@gmail.com
Nachiket Hospital Pvt Ltd,18.5076864,73.831062,datasciencetestmail@gmail.com
Sai Shree Orthopaedic Super Speciality and Joint Replacement Centre,18.5601581,73.8052712,datasciencetestmail@gmail.com
Shahade Hospital,18.4978682,73.8537562,datasciencetestmail@gmail.com
Dada Laser Eye Institute,18.5109382,73.8799037,datasciencetestmail@gmail.com
Dr.Prakash Katariya Laser Cure,18.5223591,73.8441311,datasciencetestmail@gmail.com
"Siddharth Hospital, Pune",18.4900578,73.8684641,datasciencetestmail@gmail.com
Dr.Purohit Nursing Home,18.490344,73.8443121,datasciencetestmail@gmail.com
"Pooja Hospital, Pune",18.5891781,73.8190953,datasciencetestmail@gmail.com
Sahyadri Hospital Hadapsar,18.5031602,73.9321491,datasciencetestmail@gmail.com
Siddhi Hospital and Laproscopy Centre Pvt Ltd,18.464116,73.859008,datasciencetestmail@gmail.com
Nande Hospital,18.5011902,73.9383772,datasciencetestmail@gmail.com
PBMA's H V Desai Eye Hospital,18.4722952,73.9237216,datasciencetestmail@gmail.com
Suraj Hospital,18.4814034,73.8724713,datasciencetestmail@gmail.com
Moraya Hospital,18.5821441,73.8283718,datasciencetestmail@gmail.com
"Mohintara Hospital, Hadapsar",18.5008462,73.9305311,datasciencetestmail@gmail.com
Chinchanikar Hospital,18.4785438,73.8235485,datasciencetestmail@gmail.com
"Chaitanya Hospital, Bhaghirathi Nagar",18.4778296,73.7977711,datasciencetestmail@gmail.com
Dr Sarawat Memorial Hospital,18.4705427,73.8878018,datasciencetestmail@gmail.com
Kotbagi Hospital,18.5619444,73.8048233,datasciencetestmail@gmail.com
Vinod Memorial Multispeciality Hospital,18.5732119,73.8774723,datasciencetestmail@gmail.com
Om Hospital,18.5292449,73.830716,datasciencetestmail@gmail.com
Bagade Hospital For Women and Maternity Home,18.5964845,73.8300374,datasciencetestmail@gmail.com
Pune Adventist Hospital;advantist hospital,18.491944,73.8710202,datasciencetestmail@gmail.com
Mahajan Hospital,18.4840672,73.857003,datasciencetestmail@gmail.com
Om Prasuti Graha,18.5470843,73.8885243,datasciencetestmail@gmail.com
"Shreenath Hospital, Pune",18.5211129,73.906766,datasciencetestmail@gmail.com
Subodh Hospital,18.5035234,73.8137605,datasciencetestmail@gmail.com
"Pai Hospital, Pune",18.4689649,73.8572026,datasciencetestmail@gmail.com
Chinmay Institute Of Paediatrics,18.5083289,73.8457009,datasciencetestmail@gmail.com
Patil Hospital - Pune,18.4797674,73.8251685,datasciencetestmail@gmail.com
Shree.J.Hospital,18.4653028,73.864194,datasciencetestmail@gmail.com
Paranjpe Eye Clinic and Eye Surgery Centre,18.5183547,73.8404001,datasciencetestmail@gmail.com
K. K. Hospital - Pune,18.5626283,73.938176,datasciencetestmail@gmail.com
Ace Hospital,18.504933,73.8303593,datasciencetestmail@gmail.com
Jeewan Jyot Multispeciality Medical Care Center,18.5569451,73.9074788,datasciencetestmail@gmail.com
Pooja Hospital,18.5023551,73.9288205,datasciencetestmail@gmail.com
Chandra Hospital,18.4522084,73.890656,datasciencetestmail@gmail.com
Global Hospital & Research Institute,18.5013237,73.8410144,datasciencetestmail@gmail.com
"Lokmanya Hospital, Pune",18.5089079,73.834105,datasciencetestmail@gmail.com
Sai Sneh Hospital and Diagnostic Centre Pvt Ltd,18.4465478,73.8597831,datasciencetestmail@gmail.com
"Lodha Hospital, Pune",18.4833651,73.8004071,datasciencetestmail@gmail.com
"Adarsh Hospital, Pune",18.4541274,73.8881166,datasciencetestmail@gmail.com
Dhanwantari Hospital,18.5194471,73.8658999,datasciencetestmail@gmail.com
Pungliya Hospital,18.5226796,73.8508487,datasciencetestmail@gmail.com
B.J.Medical College and Sassoon Hospital,18.526235,73.871161,datasciencetestmail@gmail.com
Karne Hospital Pvt Ltd,18.4954696,73.8583709,datasciencetestmail@gmail.com
Vibhute Hospital,18.5040492,73.8518391,datasciencetestmail@gmail.com
Yash Hospital - V.K. Medical Foundation,18.5103392,73.9380687,datasciencetestmail@gmail.com
Kulkarni Endo Surgery Institute and Reconstructive Urology Centre,18.5097841,73.8029893,datasciencetestmail@gmail.com
Vinnayak Hospital,18.4854879,73.8717458,datasciencetestmail@gmail.com
Dr Makan Surgical Maternity and Accident Hospital,18.5756743,73.8196734,datasciencetestmail@gmail.com
Shah Hospital,18.5486475,73.8893055,datasciencetestmail@gmail.com
Prathmesh Hospital,18.5518547,73.9368054,datasciencetestmail@gmail.com
Pune City Eye Hospital,18.5298629,73.8760869,datasciencetestmail@gmail.com
Talesara Hospital,18.5498719,73.8887711,datasciencetestmail@gmail.com
Borse Nursing Home,18.5093803,73.7901476,datasciencetestmail@gmail.com
Prathamesh Hospital,18.5735081,73.8239434,datasciencetestmail@gmail.com
Deodhar Eye Hospital,18.5114494,73.836472,datasciencetestmail@gmail.com
"Om Hospital, Bavdhan",18.5164841,73.7818475,datasciencetestmail@gmail.com
Godbole Hospital,18.5112078,73.8513154,datasciencetestmail@gmail.com
Sanjeevani Hospital,18.4626294,73.7748331,datasciencetestmail@gmail.com
Kataria Hospital,18.545411,73.8855249,datasciencetestmail@gmail.com
Dr.Pawar Eye Hospital,18.5092716,73.8449264,datasciencetestmail@gmail.com
National Institute Of Ophthalmology,18.5596864,73.8148253,datasciencetestmail@gmail.com
Nm Wadia Institute Of Cardiology,18.5307444,73.8771894,datasciencetestmail@gmail.com
Bhakti Hospital,18.5851041,73.819735,datasciencetestmail@gmail.com
Sane Guruji Arogya Kendra,18.503632,73.9381224,datasciencetestmail@gmail.com
Disha Diagnostic Center,18.5609146,73.8118554,datasciencetestmail@gmail.com
Bhandari Maternity and Nursing Home,18.4777164,73.8234164,datasciencetestmail@gmail.com
"Samarth Hospital, Pune",18.5195234,73.862059,datasciencetestmail@gmail.com
Amai Charitable Trust Institute Of Urology,18.5550536,73.8162401,datasciencetestmail@gmail.com
Z Y - Vision,18.5247371,73.8408494,datasciencetestmail@gmail.com
"Shreeyash Hospital, Pune",18.5155666,73.8418673,datasciencetestmail@gmail.com
Dr. Todkar Hospital,18.5229518,73.8639473,datasciencetestmail@gmail.com
Khenat Hospital and Maternity Home,18.4891281,73.8138248,datasciencetestmail@gmail.com
Manoj Clinic / Gore Hospital,18.5117788,73.8487867,datasciencetestmail@gmail.com
Pharande Eye Hospital,18.4777316,73.8239729,datasciencetestmail@gmail.com
Vishwaniranjan Eye Hospital,18.5113846,73.8458276,datasciencetestmail@gmail.com
Dhanvantary Hospital,18.5728934,73.8249265,datasciencetestmail@gmail.com
Shree Nursing and Maternity Home,18.4845772,73.8159759,datasciencetestmail@gmail.com
"Ram Krishna Hospital, Pune",18.5092455,73.8483354,datasciencetestmail@gmail.com
Shatayu Hospital,18.4664871,73.857691,datasciencetestmail@gmail.com
"Vinayak Hospital, Warje",18.4858542,73.7968263,datasciencetestmail@gmail.com
Sanjeevan Maternity and Surgical Hospital,18.5593966,73.8025528,datasciencetestmail@gmail.com
Serene Hospital Pvt Ltd,18.5697941,73.8818973,datasciencetestmail@gmail.com
Deshpande Hospital,18.5049909,73.9022358,datasciencetestmail@gmail.com
Centre For Laproscopy Surgery,18.5207937,73.8452496,datasciencetestmail@gmail.com
Kawedia Hospital,18.5070645,73.8782608,datasciencetestmail@gmail.com
Om Shakti Chaya Hospital - Rsby,18.4685007,73.920515,datasciencetestmail@gmail.com
Ambekar Hospital,18.5054055,73.817541,datasciencetestmail@gmail.com
Kamaladevi Maternity Hospital & Research Home,18.467118,73.8190001,datasciencetestmail@gmail.com
Harijivan Hospital,18.5001435,73.8542376,datasciencetestmail@gmail.com
Nityaseva Eye Hsopital and Eye Bank,18.575223,73.8173626,datasciencetestmail@gmail.com
Dugad Hospital Pvt Ltd,18.4909481,73.8580129,datasciencetestmail@gmail.com
Dhanvantari Hospital,18.5004494,73.9360535,datasciencetestmail@gmail.com
Agrawal Hospital,18.4891931,73.8140419,datasciencetestmail@gmail.com
Inaam General Hospital,18.5618595,73.892592,datasciencetestmail@gmail.com
Aditya Eye Hospital & Lasik Centre,18.560232,73.8953506,datasciencetestmail@gmail.com
Sahyadri Super Speciality Hospital,18.5543086,73.8971383,datasciencetestmail@gmail.com
Rutu Anand Hospital,18.56295,73.8942307,datasciencetestmail@gmail.com
Freedom Fighter Gangaram Karne Hospital,18.5565024,73.8972835,datasciencetestmail@gmail.com
Chatrapati Shivray Hospital PMC Pune,18.5623853,73.8965795,datasciencetestmail@gmail.com
Shree Hospital,18.5533588,73.8989792,datasciencetestmail@gmail.com
Neney's Hospital,18.5536181,73.899622,datasciencetestmail@gmail.com
PMC ARMED FORCE MEDICAL COLLEGE(AFMC),18.503916,73.890117,datasciencetestmail@gmail.com
Bharati Vidyapeeth Dental College and Hospital,18.457239,73.855026,datasciencetestmail@gmail.com
Arvind Ganpat Bartakke Dawakhana Atulnagar,18.48356,73.792632,datasciencetestmail@gmail.com
Murlidhar Pandurang Laigude Hospital,18.4623918,73.804957,datasciencetestmail@gmail.com
Late Anandibai Narhar Gadgil Hospital,18.5024088,73.8386813,datasciencetestmail@gmail.com
Sutika Seva Mandir,18.513913,73.846551,datasciencetestmail@gmail.com
PMC Sangamnerkar Hospital (N. G. O.),18.561134,73.921412,datasciencetestmail@gmail.com
Chris Rock Edward Paul Hospital,18.5770661,73.8990724,datasciencetestmail@gmail.com
Sasoon Hospital,18.521872,73.873118,datasciencetestmail@gmail.com
Dr Bhore's Mother & Child Clinic,18.5977182,73.9028326,datasciencetestmail@gmail.com
CT Nursing Home,18.596865,73.9001514,datasciencetestmail@gmail.com
"FPA , Kothrud",18.506552,73.7886402,datasciencetestmail@gmail.com
Colony Nursing Home,18.5030769,73.8446917,datasciencetestmail@gmail.com
Vaibhav Hospital,18.5490315,73.8887874,datasciencetestmail@gmail.com
Gupte Hospital Extension Clinic,18.557773,73.793639,datasciencetestmail@gmail.com
Dhanwantari Hospital,18.5593096,73.7895512,datasciencetestmail@gmail.com
Bora Hospital,18.5828476,73.8122787,datasciencetestmail@gmail.com
Shivam Hospital,18.500617,73.9364994,datasciencetestmail@gmail.com
Kamal Hospital,18.494483,73.902522,datasciencetestmail@gmail.com
Manas Hospital,18.449772,73.837835,datasciencetestmail@gmail.com
Prime Multispeciality Hospital,18.5535131,73.7537866,datasciencetestmail@gmail.com
Goodwill Icon Hospital,18.5537182,73.9395977,datasciencetestmail@gmail.com
Shree Sai Prasad Hospital,18.4495206,73.849381,datasciencetestmail@gmail.com
Petals Hospital,18.5492968,73.8888427,datasciencetestmail@gmail.com
Dr. Agarwals Eye Hospital,18.5535506,73.80838,datasciencetestmail@gmail.com
Shwas Multispeciality Hospital,18.4468202,73.8373703,datasciencetestmail@gmail.com
Londhe Hospital,18.4768406,73.9257973,datasciencetestmail@gmail.com
Snehbandh Multispeciality Hospital,18.5806656,73.8307214,datasciencetestmail@gmail.com
N. M. Wadia Hospital,18.530716,73.876952,datasciencetestmail@gmail.com
Shahu Hospital,18.4820937,73.8993556,datasciencetestmail@gmail.com
Mayureshwar Multispeciality Hospital,18.4488442,73.832632,datasciencetestmail@gmail.com
Dr. Shraddha Angal,18.540958,73.829755,datasciencetestmail@gmail.com
Giridhar Hospital,18.448229,73.83316,datasciencetestmail@gmail.com
Noble Hospital,18.5035846,73.9273481,datasciencetestmail@gmail.com
New Command Hospital,18.4956457,73.884521,datasciencetestmail@gmail.com
Sushrusha Hospital,18.483917,73.939737,datasciencetestmail@gmail.com
Aditya Hospital,18.586342,73.813735,datasciencetestmail@gmail.com
Serene Hospital,18.569842,73.8823303,datasciencetestmail@gmail.com
Sanjeevani Hospital,18.5914168,73.7395295,datasciencetestmail@gmail.com
Chaitanya General Hospital,18.519983,73.9067768,datasciencetestmail@gmail.com
